Details of the geographical information corresponding to countries and regions used in this database,,,,
,,,,
,,,,
Number,Code,Name,Description,
1.0,AUS,Australia, - Australia - Christmas Island - Cocos (Keeling) Islands - Heard Island and McDonald Islands - Norfolk Island,
2.0,NZL,New Zealand,,
3.0,XOC,Rest of Oceania, - American Samoa - Cook Islands - Fiji - French Polynesia - Guam - Kiribati - Marshall Islands - Micronesia Federated States of - Nauru - New Caledonia - Niue - Northern Mariana Islands - Palau - Papua New Guinea - Pitcairn - Samoa - Solomon Islands - Tokelau - Tonga - Tuvalu - United States Minor Outlying Islands - Vanuatu - Wallis and Futuna,
4.0,CHN,China,,
5.0,HKG,Hong Kong,,
6.0,JPN,Japan,,
7.0,KOR,Korea Republic of,,
8.0,MNG,Mongolia,,
9.0,TWN,Taiwan,,
10.0,XEA,Rest of East Asia, - Korea Democratic Peoples Republic of - Macao,
11.0,KHM,Cambodia,,
12.0,IDN,Indonesia,,
13.0,LAO,Lao People's Democratic Republic,,
14.0,MYS,Malaysia,,
15.0,PHL,Philippines,,
16.0,SGP,Singapore,,
17.0,THA,Thailand,,
18.0,VNM,Viet Nam,,
19.0,XSE,Rest of Southeast Asia, - Brunei Darussalam - Myanmar - Timor Leste,
20.0,BGD,Bangladesh,,
21.0,IND,India,,
22.0,NPL,Nepal,,
23.0,PAK,Pakistan,,
24.0,LKA,Sri Lanka,,
25.0,XSA,Rest of South Asia, - Afghanistan - Bhutan - Maldives,
26.0,CAN,Canada,,
27.0,USA,United States of America,,
28.0,MEX,Mexico,,
29.0,XNA,Rest of North America, - Bermuda - Greenland - Saint Pierre and Miquelon,
30.0,ARG,Argentina,,
31.0,BOL,"Bolivia, Plurinational Republic of",,
32.0,BRA,Brazil,,
33.0,CHL,Chile,,
34.0,COL,Colombia,,
35.0,ECU,Ecuador,,
36.0,PRY,Paraguay,,
37.0,PER,Peru,,
38.0,URY,Uruguay,,
39.0,VEN,Venezuela,,
40.0,XSM,Rest of South America, - Falkland Islands (Malvinas) - French Guiana - Guyana - South Georgia and the South Sandwich Islands - Suriname,
41.0,CRI,Costa Rica,,
42.0,GTM,Guatemala,,
43.0,HND,Honduras,,
44.0,NIC,Nicaragua,,
45.0,PAN,Panama,,
46.0,SLV,El Salvador,,
47.0,XCA,Rest of Central America, - Belize,
48.0,XCB,Caribbean, - Anguilla - Antigua & Barbuda - Aruba - Bahamas - Barbados - Cayman Islands - Cuba - Dominica - Dominican Republic - Grenada - Haiti - Jamaica - Montserrat - Netherlands Antilles - Puerto Rico - Saint Kitts and Nevis - Saint Lucia - Saint Vincent and the Grenadines - Trinidad and Tobago - Turks and Caicos Islands - Virgin Islands British,
49.0,AUT,Austria,,
50.0,BEL,Belgium,,
51.0,CYP,Cyprus,,
52.0,CZE,Czech Republic,,
53.0,DNK,Denmark,,
54.0,EST,Estonia,,
55.0,FIN,Finland, - Aland Islands - Finland,
56.0,FRA,France, - France - Guadeloupe - Martinique - Reunion,
57.0,DEU,Germany,,
58.0,GRC,Greece,,
59.0,HUN,Hungary,,
60.0,IRL,Ireland,,
61.0,ITA,Italy,,
62.0,LVA,Latvia,,
63.0,LTU,Lithuania,,
64.0,LUX,Luxembourg,,
65.0,MLT,Malta,,
66.0,NLD,Netherlands,,
67.0,POL,Poland,,
68.0,PRT,Portugal,,
69.0,SVK,Slovakia,,
70.0,SVN,Slovenia,,
71.0,ESP,Spain,,
72.0,SWE,Sweden,,
73.0,GBR,United Kingdom,,
74.0,CHE,Switzerland,,
75.0,NOR,Norway, - Norway - Svalbard and Jan Mayen,
76.0,XEF,Rest of EFTA, - Iceland - Liechtenstein,
77.0,ALB,Albania,,
78.0,BGR,Bulgaria,,
79.0,BLR,Belarus,,
80.0,HRV,Croatia,,
81.0,ROU,Romania,,
82.0,RUS,Russian Federation,,
83.0,UKR,Ukraine,,
84.0,XEE,Rest of Eastern Europe, - Moldova Republic of,
85.0,XER,Rest of Europe, - Andorra - Bosnia and Herzegovina - Faroe Islands - Gibraltar - Guernsey - Holy See (Vatican City State) - Isle of Man - Jersey - Macedonia the former Yugoslav Republic of - Monaco - Montenegro - San Marino - Serbia,
86.0,KAZ,Kazakhstan,,
87.0,KGZ,Kyrgyzstan,,
88.0,XSU,Rest of Former Soviet Union, - Tajikistan - Turkmenistan - Uzbekistan,
89.0,ARM,Armenia,,
90.0,AZE,Azerbaijan,,
91.0,GEO,Georgia,,
92.0,BHR,Bahrain,,
93.0,IRN,Iran Islamic Republic of,,
94.0,ISR,Israel,,
95.0,KWT,Kuwait,,
96.0,OMN,Oman,,
97.0,QAT,Qatar,,
98.0,SAU,Saudi Arabia,,
99.0,TUR,Turkey,,
100.0,ARE,United Arab Emirates,,
101.0,XWS,Rest of Western Asia, - Iraq - Jordan - Lebanon - Palestinian Territory Occupied,29
102.0,EGY,Egypt,,
103.0,MAR,Morocco,,
104.0,TUN,Tunisia,,
105.0,XNF,Rest of North Africa, - Algeria - Libyan Arab Jamahiriya - Western Sahara,
106.0,CMR,Cameroon,,
107.0,CIV,Cote d'Ivoire,,
108.0,GHA,Ghana,,
109.0,NGA,Nigeria,,
110.0,SEN,Senegal,,
111.0,XWF,Rest of Western Africa," - Benin - Burkina Faso - Cape Verde - Gambia - Guinea - Guinea-Bissau - Liberia - Mali - Mauritania - Niger - Saint Helena, Ascension and Tristan Da Cunha - Sierra Leone - Togo",
112.0,XCF,Central Africa, - Central African Republic - Chad - Congo - Equatorial Guinea - Gabon - Sao Tome and Principe,
113.0,XAC,South Central Africa, - Angola - Congo the Democratic Republic of the,
114.0,ETH,Ethiopia,,
115.0,KEN,Kenya,,
116.0,MDG,Madagascar,,
117.0,MWI,Malawi,,
118.0,MUS,Mauritius,,
119.0,MOZ,Mozambique,,
120.0,TZA,Tanzania United Republic of,,
121.0,UGA,Uganda,,
122.0,ZMB,Zambia,,
123.0,ZWE,Zimbabwe,,
124.0,XEC,Rest of Eastern Africa, - Burundi - Comoros - Djibouti - Eritrea - Mayotte - Rwanda - Seychelles - Somalia - Sudan,
125.0,BWA,Botswana,,
126.0,NAM,Namibia,,
127.0,ZAF,South Africa,,
128.0,XSC,Rest of South African Customs Union, - Lesotho - Swaziland,
129.0,XTW,Rest of the World, - Antarctica - Bouvet Island - British Indian Ocean Territory - French Southern Territories,
